id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,max_supply,first_trade
ELF,ELF,ELF,aelf,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/elf.svg,active,0.12182623,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,461329999,56202095,62,147,0,2017-12-21T00:00:00Z,2018-08-29T00:00:00Z,147,12,2.44843967,2018-01-09T00:00:00Z,34943770.11,0.01525610,0.1432,19428236.28,1.2522,7038096.97,0.1432,880000000,2017-12-21T00:00:00Z
PNK,PNK,PNK,Kleros,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pnk.jpg,active,0.10681234,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,523496520,55915887,20,34,1,2018-07-16T00:00:00Z,2018-11-01T00:00:00Z,148,-4,0.17698187,2020-08-13T00:00:00Z,1068063.11,0.00241844,0.0232,-757225.23,-0.4149,1266042.55,0.0232,764626704,2018-07-16T00:00:00Z
STORJ,STORJ,STORJ,Storj,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/storj.svg,active,0.37984345,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,143787439,54616717,51,128,0,2017-07-11T00:00:00Z,2018-08-29T00:00:00Z,149,4,2.64866351,2018-01-09T00:00:00Z,23556904.45,0.02672531,0.0757,-517790.19,-0.0215,3842764.22,0.0757,424999998,2017-09-30T00:00:00Z
TTT2,TTT2,TTT,The Transfer Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TTT2.png,active,1.20607619,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,44889467,54140117,3,6,0,2019-06-04T00:00:00Z,2019-06-04T00:00:00Z,150,-8,4.94361438,2020-05-07T00:00:00Z,1847580.66,-0.10320222,-0.0788,-255523.88,-0.1215,-4622574.50,-0.0787,2000000000,
UTK,UTK,UTK,Utrust,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/utk.svg,active,0.11944777,2020-12-02T00:00:00Z,2020-12-02T21:09:00Z,450000000,53751495,24,50,0,2017-12-30T00:00:00Z,2018-09-07T00:00:00Z,151,-1,1.12957353,2018-01-09T00:00:00Z,2869452.88,0.00104243,0.0088,-786187.95,-0.2151,469094.85,0.0088,500000000,2018-02-07T00:00:00Z
POLY,POLY,POLY,Polymath,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/poly.svg,active,0.07253210,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,735184584,53324480,34,61,0,2018-02-01T00:00:00Z,2018-08-29T00:00:00Z,152,2,1.45911167,2018-02-20T00:00:00Z,2414034.91,0.00376370,0.0547,-1050032.30,-0.3031,2767015.06,0.0547,1000000000,2018-02-01T00:00:00Z
AGI,AGI,AGI,SingularityNET,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/agi.svg,active,0.05574149,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,949199128,52909777,19,55,0,2018-01-18T00:00:00Z,2018-08-29T00:00:00Z,153,-1,1.04419318,2018-01-27T00:00:00Z,799429.10,0.00006614,0.0012,118893.98,0.1747,62783.75,0.0012,1000000000,2018-01-18T00:00:00Z
SHR,SHR,SHR,ShareToken,,active,0.02154668,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,2418778640,52116661,8,15,0,2019-06-19T00:00:00Z,2019-06-19T00:00:00Z,154,-11,0.05161333,2020-08-01T00:00:00Z,1729297.62,-0.00111016,-0.0490,-137037.91,-0.0734,-2685225.78,-0.0490,4396000000,2019-07-10T00:00:00Z
ETN,ETN,ETN,Electroneum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etn.jpg,active,0.00503771,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,10213985642,51455146,17,34,0,2018-03-14T00:00:00Z,2019-03-14T00:00:00Z,155,1,0.03642755,2018-05-03T00:00:00Z,1411932.16,0.00013935,0.0284,-304858.93,-0.1776,1424649.73,0.0285,21000000000,2018-09-05T00:00:00Z
NRG,NRG,NRG,Energi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/nrg.png,active,1.43472282,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,35486547,50913359,15,22,0,2019-02-28T00:00:00Z,2019-07-26T00:00:00Z,156,1,9.28330930,2019-06-29T00:00:00Z,1544257.86,0.04052755,0.0291,-215992.81,-0.1227,1458027.71,0.0295,,2020-05-17T00:00:00Z
NPXS,NPXS,NPXS,Pundi X,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/npxs.png,active,0.00020690,2020-12-02T00:00:00Z,2020-12-02T21:08:00Z,236519288706,48936403,65,154,0,2018-03-20T00:00:00Z,2018-08-29T00:00:00Z,157,5,0.01983219,2018-06-02T00:00:00Z,6020725.96,0.00000746,0.0374,-586617.68,-0.0888,1764447.27,0.0374,258526640301,2018-03-20T00:00:00Z
SYS,SYS,SYS,Syscoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/sys.svg,active,0.08058965,2020-12-02T00:00:00Z,2020-12-02T21:07:00Z,601553392,48478977,16,34,0,2014-08-17T00:00:00Z,2018-08-29T00:00:00Z,158,-7,0.97859453,2018-01-13T00:00:00Z,3734880.94,-0.00772200,-0.0874,825329.91,0.2837,-4640194.12,-0.0874,888000000,2015-01-09T00:00:00Z
