id,market_cap,daily_volume,market_cap_percent,market_cap_$,daily_volume_$,mcap_percent
HNS,36649595,433502.49,0.01,$0.04B,$0.00B,$0.04B (0.01%)
ETHOS,36564899,234621.53,0.01,$0.04B,$0.00B,$0.04B (0.01%)
MLN,36550989,1667901.96,0.01,$0.04B,$0.00B,$0.04B (0.01%)
BTU,35968596,401877.3,0.01,$0.04B,$0.00B,$0.04B (0.01%)
QKC,35724370,3948855.24,0.01,$0.04B,$0.00B,$0.04B (0.01%)
WICC,35288690,15449430.11,0.01,$0.04B,$0.02B,$0.04B (0.01%)
TT,34783495,20432689.46,0.01,$0.03B,$0.02B,$0.03B (0.01%)
RDD,34024463,133234.31,0.01,$0.03B,$0.00B,$0.03B (0.01%)
ORBS,33958831,1917368.82,0.01,$0.03B,$0.00B,$0.03B (0.01%)
KEEP,33653618,1437473.47,0.01,$0.03B,$0.00B,$0.03B (0.01%)
NOIANETWORK,33575112,466704.03,0.01,$0.03B,$0.00B,$0.03B (0.01%)
ZAP,33543158,2439802.36,0.01,$0.03B,$0.00B,$0.03B (0.01%)
ADX,33187151,8113563.6,0.01,$0.03B,$0.01B,$0.03B (0.01%)
LOKI,32861701,89701.23,0.01,$0.03B,$0.00B,$0.03B (0.01%)
VSYS,32832911,2059309.48,0.01,$0.03B,$0.00B,$0.03B (0.01%)
USDK,32491374,178274489.68,0.01,$0.03B,$0.18B,$0.03B (0.01%)
STRAT,32468375,8904.27,0.01,$0.03B,$0.00B,$0.03B (0.01%)
AVA,31616651,1172354.99,0.01,$0.03B,$0.00B,$0.03B (0.01%)
STAKE,31155875,1708587.86,0.01,$0.03B,$0.00B,$0.03B (0.01%)
XHV,30465200,113903.73,0.01,$0.03B,$0.00B,$0.03B (0.01%)
LAMB,30318481,9927981.34,0.01,$0.03B,$0.01B,$0.03B (0.01%)
DATA,30190086,682393.75,0.01,$0.03B,$0.00B,$0.03B (0.01%)
BTMX,29347017,2540721.3,0.01,$0.03B,$0.00B,$0.03B (0.01%)
KOMP,29171737,145533.52,0.01,$0.03B,$0.00B,$0.03B (0.01%)
HYN,28856532,82117.32,0.01,$0.03B,$0.00B,$0.03B (0.01%)
C20,28719674,13613.52,0.0,$0.03B,$0.00B,$0.03B (0.0%)
SAND2,28637355,5125414.62,0.0,$0.03B,$0.01B,$0.03B (0.0%)
GXC,28005095,3935481.44,0.0,$0.03B,$0.00B,$0.03B (0.0%)
